Tenor Year,IBPA_Yield,Spot_Rate,Forward_Rate
0.1,0.057596,0.057596,
1.0,0.05863,0.05863,0.058744951273933976
2.0,0.059701,-0.02545093050385394,-0.10285379324617272
3.0,0.060729,-0.05728928669032951,-0.11787951929460905
4.0,0.061716,-0.07805125953176328,-0.13763370598183433
5.0,0.062656,-0.09618873402703898,-0.1652399601498511
6.0,0.063538,-0.11572057860172813,-0.20722789942289088
7.0,0.064357,-0.14132665128764044,-0.28012221006855353
8.0,0.065107,-0.18592266769326904,-0.43955962887178757
9.0,0.065786,,
10.0,0.066394,0.066394,0.0
11.0,0.066933,0.066933,0.07233800656262512
12.0,0.067407,0.067407,0.07263491895964558
13.0,0.067819,0.067819,0.07277542149272476
14.0,0.068176,0.068176,0.0728278757974401
15.0,0.068483,0.068483,0.0727902760748631
16.0,0.068745,0.068745,0.07268271815129279
17.0,0.068968,0.068968,0.07254233472437699
18.0,0.069156,0.069156,0.07235706348887816
19.0,0.069315,0.069315,0.07218104683347759
20.0,0.069448,0.069448,0.07197814539633196
21.0,0.069559,0.069559,0.07178142097944362
22.0,0.069651,0.069651,0.07158482907688901
23.0,0.069727,0.069727,0.07140036685242812
24.0,0.069791,0.069791,0.07126405727175911
25.0,0.069843,0.069843,0.0710917585616122
26.0,0.069886,0.069886,0.07096156187521174
27.0,0.069921,0.069921,0.0708314019981946
28.0,0.06995,0.06995,0.07073329719268151
29.0,0.069973,0.069973,0.07061720077158817
30.0,0.069993,0.069993,0.07057316264929758
